variable	old	latex
var	(Intercept)	Intercept
var	postTRUE	Post-Treatment
var	treatedTRUE	Treated
var	treatedTRUE:postTRUE	Post-Treatment $\cdot$ Treated 
var	hazard.rate	Hazard
var	postTRUE:hazard.rate	Post-Treatment $\cdot$ Hazard
var	treatedTRUE:hazard.rate	Treated $\cdot$ Hazard
var	treatedTRUE:postTRUE:hazard.rate	Post-Treatment $\cdot$ Treated $\cdot$ Hazard
y	queue.length	Inventory
y	flow.time	Flow Time
x	no fe	No FE	 
x	month + judge	Month FE $+$ Judge FE
x	month * judge	Month FE $\times$ Judge FE
median	.FALSE	Mean
median	.TRUE	Median
